"calorias"	"sodio"	"tipo"
186	495	"A"
181	477	"A"
176	425	"A"
149	322	"A"
184	482	"A"
190	587	"A"
158	370	"A"
139	322	"A"
175	479	"A"
148	375	"A"
152	330	"A"
111	300	"A"
141	386	"A"
153	401	"A"
190	645	"A"
157	440	"A"
131	317	"A"
149	319	"A"
135	298	"A"
132	253	"A"
173	458	"B"
191	506	"B"
182	473	"B"
190	545	"B"
172	496	"B"
147	360	"B"
146	387	"B"
139	386	"B"
175	507	"B"
136	393	"B"
179	405	"B"
153	372	"B"
107	144	"B"
195	511	"B"
135	405	"B"
140	428	"B"
138	339	"B"
129	430	"C"
132	375	"C"
102	396	"C"
106	383	"C"
94	387	"C"
102	542	"C"
87	359	"C"
99	357	"C"
170	528	"C"
113	513	"C"
135	426	"C"
142	513	"C"
86	358	"C"
143	581	"C"
152	588	"C"
146	522	"C"
144	545	"C"
